Flight_ID,Date,Time,Aircraft_Type,Aircraft_Age,Flight_Hours,Crew_Experience,Pilot_Error_Flag,Altitude,Airspeed,Weather_Condition,Visibility,Wind_Speed,Temperature,Icing_Condition,Mechanical_Failure_Flag,Engine_Failure_Type,Maintenance_History,Air_Traffic_Control_Issue,Flight_Phase,Terrain_Type,Crash_Severity,Casualties,Survivors,External_Factor,Flight_Data_Anomaly_Score,Crash_Cause,Crash_Risk_Score
FL6071,07-05-2022,18:57:24,Bombardier CRJ,2.6,43700,13959,TRUE,8404,179,Rain,8,10,-9,FALSE,TRUE,Fuel System,2,FALSE,Approach,Rural,Minor,0,119,Bird Strike,0.66,External,0.6
FL3359,03-12-2019,06:51:49,Embraer E175,5.8,17849,18937,TRUE,12288,138,Storm,7.1,24,7,FALSE,TRUE,None,2,FALSE,Takeoff,Runway,Fatal,154,108,Terrorism,0.02,External,0.95
FL3911,20-06-2021,04:32:08,Boeing 747-800,15.8,12266,2046,TRUE,11414,275,Fog,8.5,13,-13,TRUE,FALSE,Bird Strike,1,FALSE,Cruise,Ocean,Fatal,322,7,Bird Strike,0.55,Mechanical Failure,0.67
FL3424,18-11-2022,06:48:51,Boeing 777,22.2,68414,5889,TRUE,4711,522,Storm,11.7,2,-2,FALSE,TRUE,None,3,TRUE,Descent,Mountain,Non-Fatal,0,106,Bird Strike,0.33,ATC,0.92
FL1371,13-03-2023,11:32:03,Boeing 767,9.8,15201,16855,FALSE,21850,113,Clear,7.4,18,43,TRUE,FALSE,Bird Strike,2,TRUE,Takeoff,Mountain,Non-Fatal,0,57,Terrorism,0.71,External,0.92
FL7995,25-10-2018,01:22:00,Boeing 787,13.8,17702,15278,TRUE,23353,317,Storm,12.5,1,6,FALSE,FALSE,Bird Strike,2,FALSE,Descent,Runway,Non-Fatal,0,328,Bird Strike,0.42,External,0.52
FL5286,05-07-2022,14:57:35,Boeing 747-800,14.1,66099,9183,FALSE,36226,512,Fog,11.6,31,8,FALSE,TRUE,Compressor Stall,4,FALSE,Climb,Ocean,Non-Fatal,0,54,Bird Strike,0.14,Weather,0.82
FL5843,15-11-2020,09:54:54,Airbus A321,4.2,33611,8829,FALSE,32739,184,Fog,10.7,33,-3,TRUE,TRUE,Fuel System,2,TRUE,Descent,Runway,Non-Fatal,0,88,Terrorism,0.17,Human Error,0.94
FL7015,24-09-2022,21:18:25,Boeing 787,20,30488,17739,TRUE,20090,533,Snow,6.8,24,-12,FALSE,TRUE,Fuel System,0,FALSE,Takeoff,Urban,Fatal,331,18,Terrorism,0.73,Mechanical Failure,0.85
FL2918,09-02-2024,00:04:57,Airbus A350,5.6,22975,13935,TRUE,24787,151,Fog,11.7,30,44,FALSE,FALSE,None,3,TRUE,Climb,Urban,Fatal,156,95,None,0.49,ATC,0.04
FL7951,29-01-2024,18:39:17,Boeing 737-700,6,52741,1023,FALSE,13997,526,Rain,4.4,31,3,TRUE,TRUE,Fuel System,2,TRUE,Takeoff,Rural,Fatal,109,8,Bird Strike,0.85,ATC,0.05
FL3690,19-12-2020,08:24:24,Boeing 777,11.9,64536,8114,TRUE,6436,458,Fog,6.2,10,13,FALSE,TRUE,Compressor Stall,5,FALSE,Descent,Rural,Minor,0,211,Bird Strike,0.62,Mechanical Failure,0.34
FL6919,21-02-2019,08:50:20,Bombardier CRJ,9.1,45804,6248,FALSE,10199,425,Storm,9.5,23,16,TRUE,FALSE,Compressor Stall,0,TRUE,Descent,Rural,Minor,0,248,None,0.15,Mechanical Failure,0.6
FL8226,22-01-2022,10:38:33,Boeing 737-800,7,18125,11384,TRUE,7889,134,Storm,7.8,0,38,TRUE,FALSE,Bird Strike,4,FALSE,Takeoff,Mountain,Minor,0,80,None,0.83,External,0.62
FL9966,03-06-2020,18:03:56,Airbus A319,0.7,58914,7171,FALSE,26766,202,Clear,12.5,26,31,TRUE,FALSE,Bird Strike,4,TRUE,Takeoff,Runway,Non-Fatal,0,158,Terrorism,0.17,Mechanical Failure,0.37
FL9251,16-10-2024,16:17:47,Boeing 777,10.8,21529,6775,TRUE,5865,444,Clear,6.5,25,-15,TRUE,FALSE,Fuel System,0,TRUE,Descent,Mountain,Minor,0,101,Bird Strike,0.26,Weather,0.22
FL9070,08-05-2022,18:52:23,Airbus A319,6.5,24218,3509,TRUE,38315,417,Fog,10.2,6,26,FALSE,FALSE,Compressor Stall,1,FALSE,Landing,Rural,Non-Fatal,0,260,Terrorism,0.57,Weather,0.63
FL5340,04-05-2023,05:23:23,Boeing 767,12.8,47632,18837,FALSE,5429,191,Snow,8.7,23,13,FALSE,FALSE,Bird Strike,5,TRUE,Climb,Runway,Non-Fatal,0,137,Bird Strike,0.85,Weather,0.35
FL8975,14-09-2018,01:28:00,Cessna 172,19.8,26107,7045,TRUE,39614,450,Clear,1.5,28,44,FALSE,FALSE,Bird Strike,2,TRUE,Climb,Rural,Minor,0,41,None,0.53,Mechanical Failure,0.63
FL7558,20-03-2023,18:47:37,Boeing 737-800,15.2,67759,8916,TRUE,4622,309,Rain,12.7,2,-10,TRUE,FALSE,Bird Strike,1,TRUE,Descent,Ocean,Minor,0,172,None,0.36,Human Error,0.42
FL0814,13-12-2019,10:50:39,Airbus A320,12.9,23552,8538,FALSE,32350,545,Fog,1.6,25,-10,TRUE,TRUE,Fuel System,3,TRUE,Landing,Urban,Non-Fatal,0,55,Terrorism,0.82,Weather,0.42
FL1039,30-06-2019,21:25:06,Boeing 747-400,10.8,58060,12675,TRUE,14682,530,Rain,12.9,28,2,TRUE,FALSE,Fuel System,2,TRUE,Descent,Ocean,Minor,0,164,Bird Strike,0.11,Weather,0.67
FL4658,26-02-2025,07:02:35,Boeing 767,23.8,17682,7355,TRUE,40602,272,Snow,13.2,5,-10,FALSE,FALSE,Bird Strike,4,FALSE,Approach,Ocean,Non-Fatal,0,258,Bird Strike,0.68,Human Error,0.24
FL9855,30-04-2022,11:38:36,Airbus A380,5.2,6219,17257,TRUE,24783,340,Rain,2.5,3,28,TRUE,TRUE,Fuel System,1,FALSE,Cruise,Runway,Fatal,153,58,None,0.2,ATC,0.66
FL0501,25-02-2025,04:22:57,Airbus A350,16.3,14314,4661,FALSE,41811,306,Fog,5.3,31,-19,FALSE,TRUE,Compressor Stall,1,FALSE,Approach,Mountain,Fatal,304,34,Bird Strike,0.49,ATC,0.12
FL0689,07-09-2022,03:06:33,Boeing 767,2.7,63233,6113,TRUE,2031,360,Fog,12.8,21,28,TRUE,TRUE,Bird Strike,1,TRUE,Climb,Ocean,Fatal,81,259,Terrorism,0.11,Mechanical Failure,0.36
FL5109,26-12-2024,08:42:26,Airbus A321,8.2,61951,10382,FALSE,20120,490,Storm,2.5,15,18,TRUE,FALSE,None,3,FALSE,Landing,Urban,Non-Fatal,0,24,Terrorism,0.99,Mechanical Failure,0.67
FL3927,03-06-2019,16:49:55,Boeing 737-600,16.8,9675,12265,FALSE,21728,356,Snow,2.3,26,18,TRUE,TRUE,Bird Strike,5,FALSE,Climb,Urban,Non-Fatal,0,300,Terrorism,0.87,Human Error,0.59
FL1737,20-03-2022,13:36:41,Embraer E190,11.2,45587,8449,FALSE,40208,481,Snow,2.4,19,-3,FALSE,TRUE,None,3,TRUE,Climb,Rural,Fatal,290,51,Terrorism,0.35,Human Error,0.79
FL6011,31-08-2020,19:57:49,Boeing 747-400,13.2,55270,5139,TRUE,24687,319,Clear,13.6,33,7,TRUE,FALSE,Bird Strike,4,TRUE,Cruise,Mountain,Fatal,260,72,Terrorism,0.88,Weather,0.65
FL1931,19-04-2020,11:31:08,Boeing 747-400,7.9,67192,12587,FALSE,33115,324,Clear,12.5,8,-18,TRUE,TRUE,Fuel System,3,FALSE,Landing,Mountain,Minor,0,188,None,0.44,External,0.44
FL9140,16-05-2023,10:51:36,Boeing 737-800,22.7,21635,15690,FALSE,11414,272,Snow,11.6,21,24,FALSE,TRUE,None,0,FALSE,Approach,Ocean,Non-Fatal,0,84,Bird Strike,0.08,Human Error,0.02
FL7477,16-04-2021,03:31:08,Boeing 747-400,8.4,23507,6096,TRUE,1171,288,Rain,12.2,24,13,FALSE,TRUE,Fuel System,5,TRUE,Landing,Rural,Minor,0,294,None,0.65,ATC,0.96
FL4923,11-02-2023,02:47:52,Boeing 777,20.5,45119,12284,FALSE,5553,490,Rain,8.1,18,16,TRUE,FALSE,None,3,TRUE,Cruise,Runway,Fatal,281,47,Bird Strike,0.69,Human Error,0.4
FL3553,12-03-2023,21:01:13,Airbus A321,2.2,20442,17057,FALSE,16652,337,Fog,2.1,9,-18,FALSE,TRUE,Bird Strike,0,FALSE,Approach,Ocean,Fatal,292,3,Bird Strike,0.1,Weather,0.85
FL7865,08-05-2025,05:39:53,Boeing 787,21.8,68873,9892,TRUE,38119,539,Snow,2,26,12,TRUE,TRUE,Fuel System,1,FALSE,Descent,Runway,Non-Fatal,0,133,None,0.24,Human Error,0.66
FL8091,06-09-2024,10:02:46,Airbus A380,8,58035,6554,FALSE,23869,207,Snow,3.6,25,43,FALSE,TRUE,None,4,FALSE,Approach,Mountain,Fatal,268,17,Terrorism,0.91,Human Error,0.64
FL3266,15-04-2021,20:39:16,Airbus A320,18.9,46336,13646,FALSE,32366,396,Snow,13,30,42,TRUE,FALSE,None,2,FALSE,Landing,Ocean,Minor,0,68,None,0.28,Mechanical Failure,0.7
FL0068,27-03-2019,09:54:22,Boeing 767,20.9,30949,8144,FALSE,8416,138,Rain,6.9,30,-5,TRUE,FALSE,None,4,TRUE,Takeoff,Rural,Fatal,199,30,Bird Strike,0.36,ATC,0.1
FL3188,25-09-2023,06:06:48,Airbus A380,18.6,41112,18942,FALSE,14613,121,Fog,8.4,12,-4,FALSE,TRUE,Fuel System,1,TRUE,Takeoff,Ocean,Minor,0,105,Terrorism,0.79,Mechanical Failure,0.24
FL4991,29-03-2024,00:49:45,Airbus A319,14.6,31968,2620,TRUE,16631,442,Fog,6.1,14,-17,TRUE,TRUE,Compressor Stall,5,TRUE,Descent,Ocean,Fatal,99,36,Bird Strike,0.06,Human Error,0.37
FL1340,01-08-2018,02:54:54,Boeing 737-700,9.4,32757,14598,FALSE,31317,380,Snow,3.8,34,-12,FALSE,FALSE,Fuel System,5,TRUE,Climb,Urban,Minor,0,17,Bird Strike,0.68,ATC,0.73
FL0366,21-04-2020,23:53:06,Boeing 767,15.3,43873,9758,TRUE,13296,363,Snow,7.4,11,-16,TRUE,FALSE,Compressor Stall,5,FALSE,Descent,Ocean,Non-Fatal,0,108,Terrorism,0.75,Human Error,0.98
FL8084,26-10-2023,03:53:27,Airbus A380,15.1,8877,13563,FALSE,5688,255,Fog,3.3,33,0,TRUE,TRUE,None,4,TRUE,Descent,Mountain,Non-Fatal,0,12,Bird Strike,0.99,Mechanical Failure,0.77
FL7689,27-02-2024,06:07:19,Embraer E175,8.1,63612,8526,TRUE,17684,326,Rain,8,3,35,TRUE,TRUE,None,1,FALSE,Approach,Runway,Non-Fatal,0,171,None,0.94,External,0.62
FL6718,23-08-2021,00:46:53,Boeing 767,14.7,60464,7392,FALSE,37536,104,Rain,6.2,31,33,TRUE,FALSE,Compressor Stall,4,FALSE,Cruise,Mountain,Minor,0,266,Bird Strike,0.61,ATC,0.23
FL2581,16-01-2021,01:29:12,Boeing 747-800,3.5,44045,4923,FALSE,612,100,Fog,8.6,17,29,TRUE,TRUE,Compressor Stall,3,TRUE,Landing,Urban,Fatal,90,53,Bird Strike,0.76,Mechanical Failure,0.91
FL5532,11-11-2018,01:58:22,Cessna 172,19.5,5002,17207,TRUE,3989,322,Snow,9,7,-2,TRUE,FALSE,Compressor Stall,1,TRUE,Descent,Mountain,Fatal,238,102,Bird Strike,0.2,Weather,0.63
FL5051,27-10-2022,13:15:20,Boeing 737-900,18.7,66242,14766,TRUE,24,126,Rain,1.8,33,20,TRUE,FALSE,Fuel System,2,TRUE,Descent,Mountain,Non-Fatal,0,258,Bird Strike,0.43,External,0.62
FL9126,14-06-2021,23:50:45,Bombardier CRJ,7,10722,3142,TRUE,28018,381,Clear,4.1,25,31,FALSE,FALSE,Compressor Stall,0,TRUE,Cruise,Ocean,Minor,0,97,Terrorism,0.46,Mechanical Failure,0.75
FL3019,18-08-2021,01:01:46,Boeing 747-400,23.6,51872,9159,TRUE,6561,178,Fog,1.3,13,20,TRUE,FALSE,Fuel System,2,TRUE,Descent,Runway,Non-Fatal,0,122,Terrorism,0.3,Mechanical Failure,0.51
FL4241,23-04-2021,12:44:05,Embraer E175,0.9,66839,17363,TRUE,22752,337,Fog,5.8,19,44,FALSE,FALSE,None,1,TRUE,Landing,Mountain,Minor,0,97,None,0.26,External,0.13
FL1517,21-03-2023,13:19:45,Airbus A330,6.8,55574,15818,TRUE,30541,304,Snow,10.2,5,6,FALSE,FALSE,Bird Strike,3,TRUE,Climb,Urban,Minor,0,70,None,0.8,Human Error,0.33
FL6129,11-08-2024,15:53:15,Airbus A330,23.6,29338,2349,TRUE,36740,472,Rain,2.9,17,-6,FALSE,FALSE,Bird Strike,4,TRUE,Cruise,Urban,Non-Fatal,0,95,None,0.16,External,0.35
FL9392,23-12-2022,12:31:55,Boeing 747-400,24.8,22439,6184,FALSE,39874,335,Clear,7.8,30,-12,FALSE,FALSE,Compressor Stall,5,TRUE,Cruise,Rural,Fatal,316,26,Bird Strike,0.57,ATC,0.74
FL1460,28-05-2022,13:45:41,Boeing 737-700,7.9,36572,17362,TRUE,36126,504,Fog,1.3,2,0,TRUE,FALSE,Compressor Stall,4,TRUE,Takeoff,Mountain,Minor,0,100,Terrorism,0.32,Mechanical Failure,0.32
FL9654,22-08-2023,06:23:57,Airbus A330,16.1,8905,9243,TRUE,3136,166,Snow,8.5,18,44,FALSE,TRUE,None,3,TRUE,Cruise,Runway,Fatal,271,23,Terrorism,0.75,Weather,0.18
FL1776,07-08-2021,21:41:06,Boeing 787,6,55127,6962,TRUE,21710,467,Clear,7.2,8,15,FALSE,TRUE,Bird Strike,5,TRUE,Landing,Runway,Fatal,161,165,Terrorism,0.45,ATC,0.29
FL5071,21-11-2024,19:48:03,Embraer E175,22.7,31602,11498,FALSE,34458,201,Fog,3.3,27,2,TRUE,FALSE,Bird Strike,4,TRUE,Approach,Ocean,Non-Fatal,0,7,None,0.83,ATC,0.91
FL6022,15-03-2022,19:23:57,Boeing 737-800,7.4,29679,15927,FALSE,16755,208,Fog,2.2,21,-8,TRUE,TRUE,Bird Strike,3,TRUE,Takeoff,Urban,Non-Fatal,0,307,Bird Strike,0.38,ATC,0.58
FL7079,01-02-2021,07:11:02,Boeing 737-900,17.1,8285,3235,TRUE,18093,327,Storm,10.5,0,6,TRUE,FALSE,Fuel System,5,TRUE,Cruise,Urban,Fatal,204,111,None,0.21,External,0.41
FL6738,07-03-2021,14:57:56,Boeing 737-700,19.3,35644,5694,TRUE,7773,471,Fog,11,2,26,TRUE,FALSE,None,5,FALSE,Landing,Ocean,Non-Fatal,0,183,Bird Strike,0.19,Human Error,0.45
FL2907,29-07-2024,10:59:29,Bombardier CRJ,12.6,69809,17129,TRUE,33475,278,Fog,11.3,5,2,FALSE,FALSE,Bird Strike,3,FALSE,Descent,Urban,Fatal,58,85,Bird Strike,0.53,External,0.36
FL5852,28-05-2023,13:44:36,Airbus A330,22.5,25545,2087,TRUE,10245,422,Clear,11.9,25,6,FALSE,TRUE,Fuel System,2,FALSE,Cruise,Rural,Minor,0,269,Bird Strike,0.7,Mechanical Failure,0.52
FL6856,06-07-2024,22:18:21,Boeing 747-800,10.1,23026,5409,TRUE,37115,142,Clear,4.5,9,-18,FALSE,TRUE,Compressor Stall,4,FALSE,Landing,Ocean,Fatal,187,81,Bird Strike,0.61,Mechanical Failure,0.92
FL0552,28-09-2023,14:44:58,Boeing 737-700,11.5,16426,2175,FALSE,36250,232,Rain,9.6,33,18,FALSE,TRUE,None,2,FALSE,Approach,Runway,Minor,0,282,Terrorism,0.87,Weather,0.01
FL0174,14-07-2024,13:33:53,Boeing 737-700,23,18501,4490,TRUE,30734,101,Clear,12.7,21,22,FALSE,TRUE,Compressor Stall,3,TRUE,Descent,Rural,Non-Fatal,0,51,Terrorism,0.87,External,0.88
FL6071,06-12-2018,04:15:44,Boeing 787,8.7,31441,4961,TRUE,37004,492,Storm,11.4,31,44,FALSE,TRUE,Bird Strike,4,FALSE,Landing,Mountain,Non-Fatal,0,173,None,0.41,Human Error,0.52
FL5680,23-12-2019,00:07:02,Boeing 737-600,9.7,7664,14626,FALSE,9781,396,Fog,0.6,19,0,TRUE,FALSE,None,2,FALSE,Landing,Mountain,Non-Fatal,0,236,Terrorism,0.42,Weather,0.66
FL0410,24-08-2018,17:44:06,Boeing 747-800,1.8,39569,14512,TRUE,15317,116,Clear,8.5,26,-18,TRUE,TRUE,None,5,TRUE,Takeoff,Rural,Non-Fatal,0,109,Terrorism,0.47,ATC,0.99
FL7124,12-02-2022,12:09:49,Boeing 747-800,12.2,64322,15707,TRUE,18220,227,Rain,1,2,41,FALSE,FALSE,None,3,FALSE,Cruise,Mountain,Fatal,233,92,Bird Strike,0.43,External,0.76
FL8893,26-08-2021,23:07:02,Boeing 737-900,18.1,64929,3407,FALSE,40776,443,Rain,1.3,22,-12,FALSE,FALSE,None,3,FALSE,Approach,Rural,Non-Fatal,0,251,Terrorism,0.65,Human Error,0.75
FL8246,11-07-2024,00:44:35,Embraer E175,7.7,29754,12521,TRUE,36243,511,Storm,1.2,27,43,TRUE,TRUE,Fuel System,4,FALSE,Descent,Runway,Non-Fatal,0,193,None,0.04,Weather,0.48
FL3842,05-02-2024,10:05:27,Boeing 737-700,5.1,42830,12258,TRUE,35769,146,Clear,9.5,6,43,TRUE,FALSE,Fuel System,2,TRUE,Descent,Runway,Non-Fatal,0,5,Terrorism,0.9,Weather,0.53
FL5469,19-11-2019,20:55:36,Airbus A380,4.8,52107,14168,FALSE,28185,479,Clear,0.8,16,17,FALSE,TRUE,None,3,FALSE,Climb,Ocean,Minor,0,76,Bird Strike,0.48,Weather,0.31
FL8648,29-02-2020,02:46:03,Airbus A319,7.8,62392,13751,FALSE,26473,354,Storm,3.3,8,-16,FALSE,TRUE,Compressor Stall,5,TRUE,Takeoff,Runway,Fatal,111,193,Terrorism,0.89,Human Error,0.06
FL6811,12-02-2023,04:52:19,Embraer E190,8.2,42963,5655,FALSE,5482,215,Fog,10.9,30,-9,TRUE,FALSE,Fuel System,5,TRUE,Takeoff,Mountain,Fatal,136,212,Terrorism,0.78,Mechanical Failure,0.97
FL3567,03-12-2024,02:38:23,Boeing 737-600,21.8,68142,14136,TRUE,22795,108,Clear,8,21,5,TRUE,FALSE,None,2,TRUE,Approach,Mountain,Fatal,1,79,Bird Strike,0.52,ATC,0.81
FL2389,19-10-2024,13:54:49,Airbus A321,4.7,69984,2242,TRUE,18723,546,Rain,12.9,5,-9,TRUE,TRUE,None,2,FALSE,Takeoff,Mountain,Fatal,112,177,Terrorism,0.36,Human Error,0.99
FL2029,23-07-2018,17:49:55,Airbus A350,7.4,59201,3975,TRUE,19322,251,Snow,1.7,12,38,TRUE,FALSE,None,5,FALSE,Takeoff,Ocean,Minor,0,91,Terrorism,0.75,External,0.93
FL1074,27-08-2023,20:12:14,Embraer E175,21.2,67790,11045,TRUE,2524,542,Snow,14.2,12,-19,FALSE,FALSE,None,5,TRUE,Landing,Runway,Minor,0,225,Bird Strike,0.04,Mechanical Failure,0.35
FL5939,17-02-2023,00:52:10,Boeing 777,1.6,36177,1741,TRUE,32108,507,Fog,5,8,22,FALSE,FALSE,Compressor Stall,4,TRUE,Approach,Mountain,Fatal,206,8,None,0.3,Weather,0.65
FL7768,10-09-2024,03:10:38,Airbus A330,2.3,43709,18795,TRUE,28671,525,Fog,2.3,4,-15,FALSE,TRUE,Bird Strike,2,TRUE,Climb,Ocean,Fatal,47,106,Terrorism,0.35,External,0.18
FL1901,22-09-2018,11:33:32,Boeing 737-800,4.5,12603,1539,TRUE,10816,319,Snow,14.6,29,15,FALSE,TRUE,Fuel System,3,TRUE,Climb,Runway,Non-Fatal,0,70,Terrorism,0.03,ATC,0.94
FL9309,24-09-2021,21:27:20,Airbus A320,16.9,65267,9955,FALSE,19054,422,Rain,8.8,34,25,TRUE,TRUE,None,3,FALSE,Approach,Rural,Non-Fatal,0,112,Bird Strike,0.02,Mechanical Failure,0.18
FL8024,20-12-2020,03:25:11,Airbus A319,20.5,22987,18575,TRUE,16755,334,Rain,15,21,-19,FALSE,FALSE,None,1,TRUE,Landing,Mountain,Non-Fatal,0,21,Terrorism,0.41,Mechanical Failure,0.99
FL1051,24-03-2023,19:57:34,Airbus A319,4.4,10463,6628,FALSE,17565,207,Clear,9.2,34,27,FALSE,TRUE,None,1,FALSE,Cruise,Mountain,Non-Fatal,0,127,Bird Strike,0.51,Weather,0.16
FL7662,03-08-2019,03:42:35,Airbus A350,17.2,16422,15095,FALSE,11161,409,Storm,4,1,42,TRUE,FALSE,Compressor Stall,3,TRUE,Landing,Runway,Fatal,285,18,Terrorism,0.73,External,0.96
FL3319,22-08-2020,00:30:48,Airbus A380,10.8,63260,6691,TRUE,24354,306,Clear,7.4,10,32,FALSE,TRUE,None,0,FALSE,Approach,Rural,Minor,0,64,Bird Strike,0.77,ATC,0.33
FL2150,19-08-2023,22:15:47,Boeing 737-900,23.2,61473,19705,TRUE,12205,500,Fog,1,29,-8,TRUE,TRUE,Compressor Stall,1,FALSE,Approach,Urban,Non-Fatal,0,2,Terrorism,0.37,Human Error,0.69
FL2233,05-07-2020,03:46:01,Boeing 767,24.7,62014,14831,FALSE,17118,273,Storm,6.7,8,-6,TRUE,FALSE,Fuel System,5,TRUE,Climb,Mountain,Non-Fatal,0,237,None,0.13,Mechanical Failure,0.18
FL5708,08-03-2024,13:08:37,Airbus A380,17.8,58748,16217,FALSE,19793,404,Snow,13.7,19,21,TRUE,FALSE,Fuel System,4,FALSE,Landing,Mountain,Minor,0,282,Bird Strike,0.31,Mechanical Failure,0.56
FL3127,10-09-2019,17:40:23,Airbus A320,14.6,27711,8007,FALSE,24354,497,Fog,8.3,11,26,TRUE,FALSE,Fuel System,1,FALSE,Cruise,Urban,Non-Fatal,0,328,None,0.2,External,0.09
FL2374,23-01-2023,22:27:58,Boeing 767,19.1,16823,10225,TRUE,38680,284,Fog,14.1,10,40,FALSE,TRUE,None,1,TRUE,Approach,Ocean,Non-Fatal,0,25,Bird Strike,0.34,Mechanical Failure,0.91
FL5721,15-10-2021,18:18:44,Bombardier CRJ,11.1,13881,1544,FALSE,38593,273,Storm,14.5,9,25,TRUE,FALSE,Compressor Stall,2,TRUE,Approach,Urban,Fatal,340,2,Bird Strike,0.91,ATC,0.9
FL3678,20-06-2025,15:33:57,Boeing 787,3.8,38677,10467,FALSE,24288,263,Fog,3.8,27,22,FALSE,FALSE,Bird Strike,3,FALSE,Cruise,Urban,Minor,0,30,Bird Strike,0.12,Mechanical Failure,0.77
FL9841,12-03-2022,08:41:15,Airbus A350,19.3,35780,14826,FALSE,30060,392,Clear,10,12,18,TRUE,FALSE,Fuel System,4,FALSE,Landing,Ocean,Fatal,225,54,None,0.59,External,0.39
FL8308,15-03-2021,08:58:20,Embraer E190,14,16685,16823,FALSE,16098,358,Snow,9.1,26,-8,FALSE,TRUE,Compressor Stall,4,FALSE,Climb,Rural,Non-Fatal,0,252,Terrorism,0.74,Human Error,0.9
FL1606,12-03-2024,01:40:01,Boeing 767,24.9,44452,6051,TRUE,10831,256,Clear,10.4,13,24,FALSE,TRUE,Bird Strike,5,FALSE,Cruise,Ocean,Minor,0,329,Terrorism,0.02,Human Error,0.43
FL2663,20-07-2018,20:34:11,Airbus A321,19.5,61555,2999,FALSE,40741,406,Fog,7.8,11,-2,TRUE,TRUE,Fuel System,2,FALSE,Takeoff,Rural,Fatal,37,42,Bird Strike,0.73,Human Error,0.25
FL6747,25-12-2021,11:49:34,Airbus A350,15.3,35631,5238,TRUE,17930,535,Fog,10.7,0,3,TRUE,TRUE,None,5,TRUE,Cruise,Mountain,Fatal,115,147,Terrorism,0.44,Weather,0.4
FL6422,20-11-2020,09:06:56,Cessna 172,6.2,6073,11134,FALSE,41356,139,Rain,3.5,22,27,FALSE,FALSE,Fuel System,0,TRUE,Descent,Runway,Non-Fatal,0,251,Bird Strike,0.99,Weather,0.31
FL5407,06-01-2020,19:57:20,Boeing 747-400,4.6,60234,10746,FALSE,13308,299,Storm,6.6,7,-4,FALSE,TRUE,None,5,TRUE,Approach,Urban,Non-Fatal,0,251,None,0.13,ATC,0.11
FL6992,07-10-2019,09:21:28,Boeing 747-400,19.7,24165,7939,FALSE,19274,146,Fog,8.8,0,17,FALSE,TRUE,None,1,TRUE,Takeoff,Mountain,Fatal,307,24,Terrorism,0.48,Weather,0.02
FL8877,25-02-2025,03:06:55,Airbus A320,15.9,69966,19834,TRUE,33691,285,Snow,13.1,27,-10,TRUE,FALSE,Bird Strike,3,TRUE,Landing,Rural,Fatal,277,38,Bird Strike,0.2,External,0.88
FL2234,27-08-2018,18:39:33,Embraer E175,11.9,23000,18965,TRUE,40313,249,Rain,14.2,15,-13,FALSE,FALSE,Bird Strike,4,FALSE,Approach,Runway,Minor,0,78,None,0.67,ATC,0.26
FL0984,24-01-2022,17:23:51,Airbus A321,10.7,18674,18113,TRUE,23867,532,Fog,1.7,21,10,FALSE,FALSE,Compressor Stall,2,FALSE,Cruise,Runway,Fatal,176,171,None,0.38,Human Error,0.87
FL5897,21-07-2018,19:21:30,Embraer E175,16.4,7776,3236,TRUE,25950,333,Fog,4.7,9,-14,FALSE,FALSE,Bird Strike,2,FALSE,Climb,Runway,Non-Fatal,0,139,Bird Strike,0.58,Human Error,0
FL1145,30-05-2023,06:26:23,Boeing 767,8.7,33268,12198,TRUE,31639,461,Clear,0.5,32,20,FALSE,TRUE,Fuel System,1,FALSE,Descent,Ocean,Minor,0,234,Bird Strike,0.98,External,0.29
FL5968,12-11-2018,00:48:47,Boeing 747-800,20.7,58554,12445,TRUE,33131,433,Clear,10.5,24,-14,FALSE,TRUE,Compressor Stall,0,FALSE,Climb,Mountain,Minor,0,251,Terrorism,0.35,External,0.95
FL4225,21-03-2022,21:38:29,Airbus A321,24,44005,15692,TRUE,9164,354,Snow,0.9,1,34,TRUE,FALSE,None,2,FALSE,Cruise,Mountain,Non-Fatal,0,23,Bird Strike,0.72,External,0.45
FL8549,21-09-2022,02:37:14,Boeing 787,9.2,16629,9616,TRUE,24673,108,Fog,2.1,21,10,TRUE,FALSE,Fuel System,5,FALSE,Approach,Runway,Minor,0,175,Terrorism,0.92,Mechanical Failure,0.41
FL5713,05-06-2021,11:49:57,Boeing 777,12.7,6749,16050,TRUE,7688,273,Rain,12.9,13,34,FALSE,TRUE,Bird Strike,2,TRUE,Takeoff,Urban,Fatal,332,7,Terrorism,0.04,Weather,0.69
FL4600,14-07-2022,13:04:35,Boeing 737-600,9.7,60255,17936,TRUE,38913,400,Storm,12,3,11,FALSE,TRUE,Fuel System,4,TRUE,Takeoff,Rural,Fatal,126,195,Terrorism,0.07,ATC,0.97
FL8297,31-03-2022,15:17:39,Boeing 747-800,2.7,45961,13876,FALSE,925,221,Fog,8.8,29,1,FALSE,TRUE,Compressor Stall,5,FALSE,Descent,Mountain,Fatal,4,35,Bird Strike,0.32,Weather,0.57
FL7073,22-01-2025,23:12:57,Boeing 737-900,15,42821,2314,FALSE,21439,316,Clear,5.6,12,-6,TRUE,FALSE,Bird Strike,1,TRUE,Takeoff,Urban,Non-Fatal,0,211,Bird Strike,0.74,Human Error,0.9
FL4703,11-08-2019,09:05:52,Boeing 767,18,58291,14636,FALSE,30136,321,Fog,1.3,3,15,TRUE,TRUE,Bird Strike,3,FALSE,Takeoff,Rural,Non-Fatal,0,349,None,0.82,ATC,0.7
